,Feedback,Category,Confidence
0,great summer fabric i really want this to work alas it have a strange fit for me the strap would not stay up and it have a weird fit under the breast it work stand up but the minute i sit down it fell off my shoulder the fabric be beautiful and i love that it have pocket,nice fabric,0.4351482689380646
1,sweet flatter dress i love cute summer dress and this one especially because it be make out of linen be unique it be very well make with a design that be quite flatter i be foot and a little curvy with a c bust and i get a size it fit well although it be difficult to zip up because the material have no give the perfect dress to wear to italy or france now i just have to book my ticket,perfect dress,0.5886272192001343
2,this be the perfect summer dress it can be dress up or down the quality of the linen fabric be very nice i m and it hit right below my knees i find it to run true to size those with a smaller bust might want to go down a size but the tie in the front can be adjust it s lovely,perfect dress,0.6112695932388306
3,great sweater dress nice fit and flare style not clingy at all i get the grey color petite large fit perfect will wear with tights boot or booties lot of color options to accessorize with,perfect dress,0.48979485034942627
4,cute but cheap when i first open this dress and try it on i think it be adorable it be very flatter on my hourglass figure and hide my recent baby weight the problem be the hem it be already roll up when i take it out of the package and i should have notice and return it but i figure the problem would be easily solve by a good iron well it wasn t and it get worse every time i wash the dress it s like the hem isn t construct properly,perfect dress,0.46112027764320374
5,super cute and flatter too i love this sweater dress and get compliment every time i wear it i buy the navy in size xs the pattern and color be just fun and youthful although you don t have to be young to look good in this dress the dress be fit but the skirt flare make it flatter if you have hips like me the material be not too heavy so you can wear this season fall winter spring as other review have mention the dress be short i be so it do hit well above my knees this isn t an be,perfect dress,0.5576757192611694
6,fun dress extremely flatter an easy dress to wear good choice for both day and even,perfect dress,0.638417661190033
7,fun mix of color in the grey version i order this dress in size xl in the grey red yellow combination i love everything about this dress it s comfortable the color be cheerful the proportion of where the strip be place work but i have to return this dress it s too short for what i m comfortable wear i saw from the photos that this come mid thigh on the taller model i hop that would mean it would be more knee length for me unfortunately it s just too short and i d feel self conscious i don t want to deal,perfect dress,0.4689118564128876
8,for the shorter girls i really want to love this dress but it be so short i m only so i don t consider myself really tall but the dress only come a couple of inch lower than my butt way too short for me my husband ask if it be a shirt or dress haha but i think this would look adorable on someone a few inch shorter or someone younger who can pull of a short shirt,perfect dress,0.49495911598205566
9,very cute very comfortable for me aesthetics and comfort must go hand in hand this dress fit the bill,perfect dress,0.6165717244148254
10,cute concept fit weird the fun color draw me to this but it sure fit weird the top be fine but it become a bite tent like in the waist the material doesn t feel great either,terrible zipper,0.4153875410556793
11,love this dress very comfortable and versatile get lot of compliment,perfect dress,0.6534522771835327
12,so cute but weird fit this dress be really cute in person however it do not fit me like it do the model in the pic at all first of all i m feet and it be wayyy too short on me i didn t have the petit on either i have the regular xs it just hit a couple of inch too short for me i be it would be adorable if i be more comfortable in shorter dress i wear short things a lot but this be just too high on me it be probably a good inch above my knee also it flare too dramatically at the wa,petite size,0.48247870802879333
13,comfy cute and colorful this knit dress be very comfortable i like the various color use in the strip my only issue with it be that the skirt of the dress flare out oddly and be quite short in my opinion this dress with its sturdy fabric and long sleeves would appear more proportional with a longer skirt skirt length along with horizontal strip just do not work for me regrettably i send it back,perfect dress,0.5642561912536621
14,best fit dress love love this dress fit so great i normally wouldn t have pick this dress more preppy than my normal style fit amaze my hubby have compliment me more on this dress than anything else i ve ever own the fit flare style be super flatter i felt it fit tts,perfect dress,0.6200963258743286
15,cute but skip the petite unless you be very short beautiful color especially the pink i be and about lb i get the small petite but be think of exchange it for the regular xs not only be it short hem wise which i don t really mind but it be short in the waist very pretty and good fabric,petite size,0.5864648222923279
16,cute and fun the horizontal line on the skirt and top give the wearer and very nice dress i be short so i get the petite and it fit perfectly the fabric be thick and stretchy,perfect dress,0.5950800180435181
17,great dress or tunic the color be more vibrant than the photo indicate indeed though the dress be very short and do pair well with leggings and boot i like that the dress highlight my hour glass figure but with a generous nod to my curve with the accommodate skater skirt love it will be easy to wear casually and work appropriate too the sale price be a huge bonus,perfect dress,0.6266781091690063
